pk,card_id,card_name,card_brand,card_in_out_1,card_in_out_2,card_in_out_3,card_img,card_record,card_overseas
35,40,신한카드 Deep Dream Platinum+,신한카드,"해외겸용 30,000",,,https://api.card-gorilla.com:8080/storage/card/40/card_img/20121/40card.png,전월실적 없음,VISA | UnionPay
36,41,신한카드 Deep On Platinum+,신한카드,"해외겸용 30,000",,,https://api.card-gorilla.com:8080/storage/card/41/card_img/20122/41card.png,전월실적30 만원 이상,mastercard | UnionPay
37,42,SOCAR 제휴 SOCAR 신한카드,신한카드,"해외겸용 13,000",,,https://api.card-gorilla.com:8080/storage/card/42/card_img/20123/42card.png,전월실적30 만원 이상,VISA
38,43,신한카드 Deep Store,신한카드,"해외겸용 13,000",,,https://api.card-gorilla.com:8080/storage/card/43/card_img/20124/43card.png,전월실적30 만원 이상,mastercard
39,44,위메프페이 신한카드,신한카드,"해외겸용 12,000",,,https://api.card-gorilla.com:8080/storage/card/44/card_img/20125/44card.png,전월실적 없음,mastercard
40,45,American Express Blue(아멕스블루),삼성카드,"해외겸용 15,000",,,https://api.card-gorilla.com:8080/storage/card/45/card_img/20126/45card.png,전월실적30 만원 이상,AMEX
41,46,삼성카앤모아카드,삼성카드,"국내전용 8,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/46/card_img/20127/46card.png,전월실적30 만원 이상,mastercard
42,47,삼성카드4,삼성카드,"국내전용 5,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/47/card_img/20128/47card.png,전월실적10 만원 이상,AMEX | UnionPay
43,48,국민행복 삼성카드,삼성카드,국내전용 없음,해외겸용 없음,,https://api.card-gorilla.com:8080/storage/card/48/card_img/20129/48card.png,전월실적 없음,mastercard | UnionPay
44,49,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,"국내전용 47,000","해외겸용 49,000",,https://api.card-gorilla.com:8080/storage/card/49/card_img/24313/49card.png,전월실적 없음,AMEX
45,50,아시아나 삼성지엔미플래티늄카드,삼성카드,"해외전용 20,000",,,https://api.card-gorilla.com:8080/storage/card/50/card_img/20131/50card.png,전월실적30 만원 이상,mastercard
46,51,삼성카드 taptap O,삼성카드,"국내전용 10,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/51/card_img/20132/51card.png,전월실적30 만원 이상,mastercard
47,52,삼성카드 taptap S,삼성카드,"국내전용 10,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/52/card_img/20133/52card.png,전월실적50 만원 이상,mastercard
48,53,아시아나 삼성애니패스플래티늄카드,삼성카드,"해외전용 20,000",,,https://api.card-gorilla.com:8080/storage/card/53/card_img/20134/53card.png,전월실적30 만원 이상,mastercard
49,54,삼성카드 스페셜마일리지 (스카이패스),삼성카드,"국내전용 97,000","해외겸용 99,000",,https://api.card-gorilla.com:8080/storage/card/54/card_img/20135/54card.png,전월실적 없음,AMEX
50,55,CU·배달의민족 삼성카드 taptap,삼성카드,"국내전용 10,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/55/card_img/20136/55card.png,전월실적30 만원 이상,mastercard
51,56,삼성카드 지엔미+,삼성카드,"해외전용 49,000",,,https://api.card-gorilla.com:8080/storage/card/56/card_img/20137/56card.png,전월실적50 만원 이상,mastercard | UnionPay
52,57,삼성카드 애니패스+,삼성카드,"해외전용 49,000",,,https://api.card-gorilla.com:8080/storage/card/57/card_img/20138/57card.png,전월실적50 만원 이상,mastercard | UnionPay
53,58,카라이프 삼성카드 DISCOUNT+,삼성카드,"국내전용 49,000","해외겸용 49,000",,https://api.card-gorilla.com:8080/storage/card/58/card_img/20139/58card.png,전월실적50 만원 이상,mastercard
54,59,삼성카드 taptap I,삼성카드,"국내전용 49,000","해외겸용 49,000",,https://api.card-gorilla.com:8080/storage/card/59/card_img/20141/59card.png,전월실적50 만원 이상,mastercard
55,60,American Express Green,삼성카드,"해외전용 49,000",,,https://api.card-gorilla.com:8080/storage/card/60/card_img/20142/60card.png,전월실적50 만원 이상,AMEX
56,61,스카이패스 삼성아멕스카드,삼성카드,"해외전용 20,000",,,https://api.card-gorilla.com:8080/storage/card/61/card_img/20143/61card.png,전월실적 없음,AMEX
57,62,글로벌쇼핑 삼성카드 5v2,삼성카드,"해외겸용 18,000",,,https://api.card-gorilla.com:8080/storage/card/62/card_img/20144/62card.png,전월실적 없음,mastercard
58,63,삼성페이 삼성카드 taptap,삼성카드,"국내전용 10,000","해외겸용 10,000",,https://api.card-gorilla.com:8080/storage/card/63/card_img/20145/63card.png,전월실적30 만원 이상,mastercard
59,64,신세계이마트 삼성카드7,삼성카드,"국내전용 18,000","해외겸용 20,000",,https://api.card-gorilla.com:8080/storage/card/64/card_img/20146/64card.png,전월실적30 만원 이상,mastercard
60,65,삼성카드 2V3(아지냥이 Edition),삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/65/card_img/20147/65card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
61,66,삼성카드 6V3,삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/66/card_img/20148/66card.png,전월실적30 만원 이상,mastercard | UnionPay
62,67,삼성카드 3V3(GS칼텍스),삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/67/card_img/20149/67card.png,전월실적30 만원 이상,mastercard | UnionPay
63,68,삼성카드 3V3(SK에너지),삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/68/card_img/20150/68card.png,전월실적30 만원 이상,mastercard | UnionPay
64,69,삼성카드 4V3(포인트),삼성카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/69/card_img/20151/69card.png,전월실적 없음,mastercard | UnionPay
